Party,State,Representative,PctPro,year,vote
D,Arizona,Mitchell,100,Pro07,20
D,California,Tauscher,98,Pro07,20
D,California,Stark,100,Pro07,20
D,California,Lofgren,100,Pro07,20
D,California,Waters,98,Pro07,20
D,Colorado,Murphy.Chris,100,Pro07,20
D,Illinois,Schakowsky,97.96,Pro07,20
D,Kentucky,Yarmuth,100,Pro07,20
D,Kentucky,Chandler,92,Pro07,20
D,Maine,Allen.T.,98,Pro07,20
D,Maine,Michaud,94,Pro07,20
D,Maryland,Wynn,86,Pro07,20
D,Massachusetts,Olver,100,Pro07,20
D,Massachusetts,McGovern,100,Pro07,20
D,Massachusetts,Tierney,100,Pro07,20
D,Minnesota,Sabo,94,Pro07,20
D,New.Hampshire,Hodes,100,Pro07,20
D,New.Jersey,Andrews,100,Pro07,20
D,New.Jersey,Pallone,100,Pro07,20
D,New.Jersey,Pascrell,96,Pro07,20
D,New.Jersey,Holt,100,Pro07,20
D,New.Mexico,Udall.T,100,Pro07,20
D,New.York,Bishop.T,97.96,Pro07,20
D,New.York,Israel,96,Pro07,20
D,New.York,McCarthy,98,Pro07,20
D,New.York,Maloney,98,Pro07,20
D,Oregon,Wu,100,Pro07,20
D,Oregon,Blumenauer,98,Pro07,20
D,Pennsylvania,Sestak,100,Pro07,20
D,Wisconsin,Baldwin,100,Pro07,20
D,Arizona,Giffords,95,Pro07,19
D,California,Matsui,95.92,Pro07,19
D,California,Woolsey,98,Pro07,19
D,California,Miller,98,Pro07,19
D,California,Lee,95.92,Pro07,19
D,California,Capps,97.96,Pro07,19
D,California,Sherman,98,Pro07,19
D,California,Schiff,96,Pro07,19
D,California,Waxman,98,Pro07,19
D,California,Solis,96,Pro07,19
D,California,Sanchez.Linda,96,Pro07,19
D,California,Davis,97.96,Pro07,19
D,Colorado,DeGette,98,Pro07,19
D,Colorado,Udall.M,98,Pro07,19
D,Colorado,Courtney,95,Pro07,19
D,Florida,Castor,95,Pro07,19
D,Georgia,Johnson.H,95,Pro07,19
D,Georgia,Lewis.John,97.96,Pro07,19
D,Illinois,Jackson.J,94,Pro07,19
D,Illinois,Davis.D,89.8,Pro07,19
D,Maryland,Cummings,92,Pro07,19
D,Maryland,VanHollen,98,Pro07,19
D,Massachusetts,Neal,95.92,Pro07,19
D,Massachusetts,Markey,98,Pro07,19
D,Massachusetts,Capuano,96,Pro07,19
D,Minnesota,McCollum,98,Pro07,19
D,New.York,Crowley,96,Pro07,19
D,New.York,Nadler,96,Pro07,19
D,New.York,Lowey,96,Pro07,19
D,New.York,Hall.J,95,Pro07,19
D,New.York,Gillibrand,95,Pro07,19
D,New.York,McNulty,96,Pro07,19
D,New.York,Hinchey,95.92,Pro07,19
D,New.York,Higgins,94,Pro07,19
D,New.York,Slaughter,93.88,Pro07,19
D,North.Carolina,Price.D,94,Pro07,19
